Folder,Date,Read Status,Email Count
Inbox,2022-08-30 00:00:00,Read,16
Inbox,2022-08-30 00:00:00,Unread,12
Inbox,2022-08-31 00:00:00,Unread,11
Inbox,2022-08-31 00:00:00,Read,18
Inbox,2022-09-01 00:00:00,Unread,9
Inbox,2022-09-01 00:00:00,Read,22
Inbox,2022-09-02 00:00:00,Read,4
Inbox,2022-09-02 00:00:00,Unread,13
Inbox,2022-09-04 00:00:00,Unread,1
Inbox,2022-09-05 00:00:00,Read,3
Inbox,2022-09-05 00:00:00,Unread,6
Inbox,2022-09-06 00:00:00,Unread,25
Inbox,2022-09-06 00:00:00,Read,22
Inbox,2022-09-07 00:00:00,Unread,11
Inbox,2022-09-07 00:00:00,Read,13
Inbox,2022-09-08 00:00:00,Read,12
Inbox,2022-09-08 00:00:00,Unread,6
Inbox,2022-09-09 00:00:00,Read,17
Inbox,2022-09-09 00:00:00,Unread,1
Inbox,2022-09-11 00:00:00,Read,2
Inbox,2022-09-12 00:00:00,Read,21
Inbox,2022-09-12 00:00:00,Unread,10
Inbox,2022-09-13 00:00:00,Read,7
Inbox,2022-09-13 00:00:00,Unread,9
Inbox,2022-09-14 00:00:00,Unread,1
Inbox,2022-09-14 00:00:00,Read,10
Inbox,2022-09-15 00:00:00,Read,7
Inbox,2022-09-15 00:00:00,Unread,34
Inbox,2022-09-16 00:00:00,Read,9
Inbox,2022-09-16 00:00:00,Unread,24
Inbox,2022-09-18 00:00:00,Unread,1
Inbox,2022-09-19 00:00:00,Read,17
Inbox,2022-09-19 00:00:00,Unread,15
Inbox,2022-09-20 00:00:00,Unread,14
Inbox,2022-09-20 00:00:00,Read,18
Inbox,2022-09-21 00:00:00,Unread,12
Inbox,2022-09-21 00:00:00,Read,19
Inbox,2022-09-22 00:00:00,Read,16
Inbox,2022-09-22 00:00:00,Unread,15
Inbox,2022-09-23 00:00:00,Unread,16
Inbox,2022-09-23 00:00:00,Read,15
Inbox,2022-09-25 00:00:00,Read,2
Inbox,2022-09-25 00:00:00,Unread,1
Inbox,2022-09-26 00:00:00,Read,27
Inbox,2022-09-27 00:00:00,Read,7
Inbox,2022-09-28 00:00:00,Read,17
Inbox,2022-09-28 00:00:00,Unread,9
Inbox,2022-09-29 00:00:00,Read,13
Inbox,2022-09-29 00:00:00,Unread,16
